<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=138 ttl=55 time=17.893 ms
64 bytes from 8.8.8.8: icmp_seq=139 ttl=55 time=21.598 ms
64 bytes from 8.8.8.8: icmp_seq=140 ttl=55 time=18.678 ms
64 bytes from 8.8.8.8: icmp_seq=141 ttl=55 time=17.877 ms
64 bytes from 8.8.8.8: icmp_seq=142 ttl=55 time=19.752 ms
64 bytes from 8.8.8.8: icmp_seq=143 ttl=55 time=16.771 ms
64 bytes from 8.8.8.8: icmp_seq=144 ttl=55 time=17.929 ms
64 bytes from 8.8.8.8: icmp_seq=145 ttl=55 time=18.077 ms
64 bytes from 8.8.8.8: icmp_seq=146 ttl=55 time=17.822 ms
64 bytes from 8.8.8.8: icmp_seq=147 ttl=55 time=18.442 ms
64 bytes from 8.8.8.8: icmp_seq=148 ttl=55 time=16.568 ms
64 bytes from 8.8.8.8: icmp_seq=149 ttl=55 time=17.755 ms
64 bytes from 8.8.8.8: icmp_seq=150 ttl=55 time=19.044 ms
64 bytes from 8.8.8.8: icmp_seq=151 ttl=55 time=17.999 ms
64 bytes from 8.8.8.8: icmp_seq=152 ttl=55 time=17.829 ms
64 bytes from 8.8.8.8: icmp_seq=153 ttl=55 time=20.426 ms
64 bytes from 8.8.8.8: icmp_seq=154 ttl=55 time=19.846 ms
64 bytes from 8.8.8.8: icmp_seq=155 ttl=55 time=18.057 ms
64 bytes from 8.8.8.8: icmp_seq=156 ttl=55 time=16.818 ms
64 bytes from 8.8.8.8: icmp_seq=157 ttl=55 time=16.683 ms
64 bytes from 8.8.8.8: icmp_seq=158 ttl=55 time=19.119 ms
64 bytes from 8.8.8.8: icmp_seq=159 ttl=55 time=16.967 ms
64 bytes from 8.8.8.8: icmp_seq=160 ttl=55 time=44.866 ms
64 bytes from 8.8.8.8: icmp_seq=161 ttl=55 time=17.826 ms
64 bytes from 8.8.8.8: icmp_seq=162 ttl=55 time=17.873 ms
64 bytes from 8.8.8.8: icmp_seq=163 ttl=55 time=19.175 ms
64 bytes from 8.8.8.8: icmp_seq=164 ttl=55 time=18.261 ms
64 bytes from 8.8.8.8: icmp_seq=165 ttl=55 time=17.723 ms
64 bytes from 8.8.8.8: icmp_seq=166 ttl=55 time=21.846 ms
64 bytes from 8.8.8.8: icmp_seq=167 ttl=55 time=17.882 ms
64 bytes from 8.8.8.8: icmp_seq=168 ttl=55 time=17.851 ms
64 bytes from 8.8.8.8: icmp_seq=169 ttl=55 time=19.891 ms
